GEOID10,total_pop
64024,10848.412744603407
64029,17769
64030,25150
64034,7447.829869340517
64048,2668.495753056306
64050,22733
64052,20297
64053,5461
64054,3463
64055,33633
64056,16876
64057,14436
64058,7141.999971434198
64060,14356.999979838223
64062,831.8008446342094
64063,20690
64064,17781
64065,39
64066,37.999999999999474
64068,38439
64070,2820.7836561600566
64072,503
64075,11282.747372646405
64077,96.74109469350624
64079,14484.999984981785
64080,236.7915700074899
64081,24088
64082,14572.463482610492
64086,23177
64088,1255.9999875257154
64089,12909.999949107767
64092,94.99999951262267
64098,3118.999995534602
64101,278
64102,11
64105,4679
64106,9326
64108,7799
64109,9647
64110,17176
64111,17801
64112,8352
64113,11988
64114,24405
64116,15576
64117,14673
64118,42706
64119,27848
64120,383
64123,9580
64124,10626
64125,1389
64126,6148
64127,15457
64128,11379
64012,339.31152733486545
64014,25148
64015,31219
64016,4800
64018,915
66062,80489
66083,3927.406976232166
66085,7824.999999689719
66101,12342
66102,31664
66103,13570
66104,26404
66105,2479
66106,24441
66109,20934.544318027572
66111,9986
66112,13229
66115,10
66118,10
66202,16183
66203,19290
66204,19683
66205,13433
66206,10781
66207,14473
66208,21294
66209,19829
66210,18691
66211,4731
66212,32518
66213,29063
66214,12138
66215,26611
66216,24727
66217,5838
66218,8296
66219,12212
66220,7169
66221,17455
66223,25468
66224,13962.999998939084
66226,14143
66227,6192
66012,4369.737435623643
66013,815.8869700188875
66018,6155.999874409029
66019,380
66021,1781.5279343655773
66025,1601.7950546389914
66030,23546
66031,641
66061,63884
64129,8881
64130,19996
64131,22932
64132,14817
64133,35163
64134,23874
64136,2220
64137,10646
64138,26032
64139,2079
64145,5248.998937512646
64146,1506
64147,581
64149,355
64150,3313
64151,26777
64152,29231
64153,5234
64154,10895
64155,22917
64156,7935
64157,19918
64158,5041
64161,300
64163,748
64164,213
64165,215
64166,285
64167,446
64192,11
64439,1106.5479457976537
64440,45.820527838265285
64444,1034.7455810481206
64484,372.5993500042348
64492,394.8126111582571
